ｉ１,i1
ｉ２,i2
ｉ３,i3
ｉ４,i4
ｉ５,i5
ｉ６,i6
ｉｐ１,ip1
ｉｐ２,ip2
ｉｐ３,ip3
ｉｐ４,ip4
ｉｐ５,ip5
ｉｐ６,ip6
ｉｔ１,it1
ｉｔ２,it2
ｉｔ３,it3
ｉｔ４,it4
ｉｔ５,it5
ｉｔ６,it6
ｉｋ１,ik1
ｉｋ２,ik2
ｉｋ３,ik3
ｉｋ４,ik4
ｉｋ５,ik5
ｉｋ６,ik6
ｉｍ１,im1
ｉｍ２,im2
ｉｍ３,im3
ｉｍ４,im4
ｉｍ５,im5
ｉｍ６,im6
ｉｎ１,in1
ｉｎ２,in2
ｉｎ３,in3
ｉｎ４,in4
ｉｎ５,in5
ｉｎ６,in6
ｉｎｇ１,ing1
ｉｎｇ２,ing2
ｉｎｇ３,ing3
ｉｎｇ４,ing4
ｉｎｇ５,ing5
ｉｎｇ６,ing6
ｉｕ１,iu1
ｉｕ２,iu2
ｉｕ３,iu3
ｉｕ４,iu4
ｉｕ５,iu5
ｉｕ６,iu6
ｙｕ１,yu1
ｙｕ２,yu2
ｙｕ３,yu3
ｙｕ４,yu4
ｙｕ５,yu5
ｙｕ６,yu6
ｙｕｔ１,yut1
ｙｕｔ２,yut2
ｙｕｔ３,yut3
ｙｕｔ４,yut4
ｙｕｔ５,yut5
ｙｕｔ６,yut6
ｙｕｎ１,yun1
ｙｕｎ２,yun2
ｙｕｎ３,yun3
ｙｕｎ４,yun4
ｙｕｎ５,yun5
ｙｕｎ６,yun6
ｕ１,u1
ｕ２,u2
ｕ３,u3
ｕ４,u4
ｕ５,u5
ｕ６,u6
ｕｐ１,up1
ｕｐ２,up2
ｕｐ３,up3
ｕｐ４,up4
ｕｐ５,up5
ｕｐ６,up6
ｕｔ１,ut1
ｕｔ２,ut2
ｕｔ３,ut3
ｕｔ４,ut4
ｕｔ５,ut5
ｕｔ６,ut6
ｕｋ１,uk1
ｕｋ２,uk2
ｕｋ３,uk3
ｕｋ４,uk4
ｕｋ５,uk5
ｕｋ６,uk6
ｕｍ１,um1
ｕｍ２,um2
ｕｍ３,um3
ｕｍ４,um4
ｕｍ５,um5
ｕｍ６,um6
ｕｎ１,un1
ｕｎ２,un2
ｕｎ３,un3
ｕｎ４,un4
ｕｎ５,un5
ｕｎ６,un6
ｕｎｇ１,ung1
ｕｎｇ２,ung2
ｕｎｇ３,ung3
ｕｎｇ４,ung4
ｕｎｇ５,ung5
ｕｎｇ６,ung6
ｕｉ１,ui1
ｕｉ２,ui2
ｕｉ３,ui3
ｕｉ４,ui4
ｕｉ５,ui5
ｕｉ６,ui6
ｅ１,e1
ｅ２,e2
ｅ３,e3
ｅ４,e4
ｅ５,e5
ｅ６,e6
ｅｐ１,ep1
ｅｐ２,ep2
ｅｐ３,ep3
ｅｐ４,ep4
ｅｐ５,ep5
ｅｐ６,ep6
ｅｔ１,et1
ｅｔ２,et2
ｅｔ３,et3
ｅｔ４,et4
ｅｔ５,et5
ｅｔ６,et6
ｅｋ１,ek1
ｅｋ２,ek2
ｅｋ３,ek3
ｅｋ４,ek4
ｅｋ５,ek5
ｅｋ６,ek6
ｅｍ１,em1
ｅｍ２,em2
ｅｍ３,em3
ｅｍ４,em4
ｅｍ５,em5
ｅｍ６,em6
ｅｎ１,en1
ｅｎ２,en2
ｅｎ３,en3
ｅｎ４,en4
ｅｎ５,en5
ｅｎ６,en6
ｅｎｇ１,eng1
ｅｎｇ２,eng2
ｅｎｇ３,eng3
ｅｎｇ４,eng4
ｅｎｇ５,eng5
ｅｎｇ６,eng6
ｅｉ１,ei1
ｅｉ２,ei2
ｅｉ３,ei3
ｅｉ４,ei4
ｅｉ５,ei5
ｅｉ６,ei6
ｅｕ１,eu1
ｅｕ２,eu2
ｅｕ３,eu3
ｅｕ４,eu4
ｅｕ５,eu5
ｅｕ６,eu6
ｅｏｔ１,eot1
ｅｏｔ２,eot2
ｅｏｔ３,eot3
ｅｏｔ４,eot4
ｅｏｔ５,eot5
ｅｏｔ６,eot6
ｅｏｎ１,eon1
ｅｏｎ２,eon2
ｅｏｎ３,eon3
ｅｏｎ４,eon4
ｅｏｎ５,eon5
ｅｏｎ６,eon6
ｅｏｉ１,eoi1
ｅｏｉ２,eoi2
ｅｏｉ３,eoi3
ｅｏｉ４,eoi4
ｅｏｉ５,eoi5
ｅｏｉ６,eoi6
ｏｅ１,oe1
ｏｅ２,oe2
ｏｅ３,oe3
ｏｅ４,oe4
ｏｅ５,oe5
ｏｅ６,oe6
ｏｅｔ１,oet1
ｏｅｔ２,oet2
ｏｅｔ３,oet3
ｏｅｔ４,oet4
ｏｅｔ５,oet5
ｏｅｔ６,oet6
ｏｅｋ１,oek1
ｏｅｋ２,oek2
ｏｅｋ３,oek3
ｏｅｋ４,oek4
ｏｅｋ５,oek5
ｏｅｋ６,oek6
ｏｅｎｇ１,oeng1
ｏｅｎｇ２,oeng2
ｏｅｎｇ３,oeng3
ｏｅｎｇ４,oeng4
ｏｅｎｇ５,oeng5
ｏｅｎｇ６,oeng6
ｏ１,o1
ｏ２,o2
ｏ３,o3
ｏ４,o4
ｏ５,o5
ｏ６,o6
ｏｔ１,ot1
ｏｔ２,ot2
ｏｔ３,ot3
ｏｔ４,ot4
ｏｔ５,ot5
ｏｔ６,ot6
ｏｋ１,ok1
ｏｋ２,ok2
ｏｋ３,ok3
ｏｋ４,ok4
ｏｋ５,ok5
ｏｋ６,ok6
ｏｎ１,on1
ｏｎ２,on2
ｏｎ３,on3
ｏｎ４,on4
ｏｎ５,on5
ｏｎ６,on6
ｏｎｇ１,ong1
ｏｎｇ２,ong2
ｏｎｇ３,ong3
ｏｎｇ４,ong4
ｏｎｇ５,ong5
ｏｎｇ６,ong6
ｏｉ１,oi1
ｏｉ２,oi2
ｏｉ３,oi3
ｏｉ４,oi4
ｏｉ５,oi5
ｏｉ６,oi6
ｏｕ１,ou1
ｏｕ２,ou2
ｏｕ３,ou3
ｏｕ４,ou4
ｏｕ５,ou5
ｏｕ６,ou6
ａ１,a1
ａ２,a2
ａ３,a3
ａ４,a4
ａ５,a5
ａ６,a6
ａｐ１,ap1
ａｐ２,ap2
ａｐ３,ap3
ａｐ４,ap4
ａｐ５,ap5
ａｐ６,ap6
ａｔ１,at1
ａｔ２,at2
ａｔ３,at3
ａｔ４,at4
ａｔ５,at5
ａｔ６,at6
ａｋ１,ak1
ａｋ２,ak2
ａｋ３,ak3
ａｋ４,ak4
ａｋ５,ak5
ａｋ６,ak6
ａｍ１,am1
ａｍ２,am2
ａｍ３,am3
ａｍ４,am4
ａｍ５,am5
ａｍ６,am6
ａｎ１,an1
ａｎ２,an2
ａｎ３,an3
ａｎ４,an4
ａｎ５,an5
ａｎ６,an6
ａｎｇ１,ang1
ａｎｇ２,ang2
ａｎｇ３,ang3
ａｎｇ４,ang4
ａｎｇ５,ang5
ａｎｇ６,ang6
ａｉ１,ai1
ａｉ２,ai2
ａｉ３,ai3
ａｉ４,ai4
ａｉ５,ai5
ａｉ６,ai6
ａｕ１,au1
ａｕ２,au2
ａｕ３,au3
ａｕ４,au4
ａｕ５,au5
ａｕ６,au6
ａａ１,aa1
ａａ２,aa2
ａａ３,aa3
ａａ４,aa4
ａａ５,aa5
ａａ６,aa6
ａａｐ１,aap1
ａａｐ２,aap2
ａａｐ３,aap3
ａａｐ４,aap4
ａａｐ５,aap5
ａａｐ６,aap6
ａａｔ１,aat1
ａａｔ２,aat2
ａａｔ３,aat3
ａａｔ４,aat4
ａａｔ５,aat5
ａａｔ６,aat6
ａａｋ１,aak1
ａａｋ２,aak2
ａａｋ３,aak3
ａａｋ４,aak4
ａａｋ５,aak5
ａａｋ６,aak6
ａａｍ１,aam1
ａａｍ２,aam2
ａａｍ３,aam3
ａａｍ４,aam4
ａａｍ５,aam5
ａａｍ６,aam6
ａａｎ１,aan1
ａａｎ２,aan2
ａａｎ３,aan3
ａａｎ４,aan4
ａａｎ５,aan5
ａａｎ６,aan6
ａａｎｇ１,aang1
ａａｎｇ２,aang2
ａａｎｇ３,aang3
ａａｎｇ４,aang4
ａａｎｇ５,aang5
ａａｎｇ６,aang6
ａａｉ１,aai1
ａａｉ２,aai2
ａａｉ３,aai3
ａａｉ４,aai4
ａａｉ５,aai5
ａａｉ６,aai6
ａａｕ１,aau1
ａａｕ２,aau2
ａａｕ３,aau3
ａａｕ４,aau4
ａａｕ５,aau5
ａａｕ６,aau6
ｂｉ１,bi1
ｂｉ２,bi2
ｂｉ３,bi3
ｂｉ４,bi4
ｂｉ５,bi5
ｂｉ６,bi6
ｂｉｐ１,bip1
ｂｉｐ２,bip2
ｂｉｐ３,bip3
ｂｉｐ４,bip4
ｂｉｐ５,bip5
ｂｉｐ６,bip6
ｂｉｔ１,bit1
ｂｉｔ２,bit2
ｂｉｔ３,bit3
ｂｉｔ４,bit4
ｂｉｔ５,bit5
ｂｉｔ６,bit6
ｂｉｋ１,bik1
ｂｉｋ２,bik2
ｂｉｋ３,bik3
ｂｉｋ４,bik4
ｂｉｋ５,bik5
ｂｉｋ６,bik6
ｂｉｍ１,bim1
ｂｉｍ２,bim2
ｂｉｍ３,bim3
ｂｉｍ４,bim4
ｂｉｍ５,bim5
ｂｉｍ６,bim6
ｂｉｎ１,bin1
ｂｉｎ２,bin2
ｂｉｎ３,bin3
ｂｉｎ４,bin4
ｂｉｎ５,bin5
ｂｉｎ６,bin6
ｂｉｎｇ１,bing1
ｂｉｎｇ２,bing2
ｂｉｎｇ３,bing3
ｂｉｎｇ４,bing4
ｂｉｎｇ５,bing5
ｂｉｎｇ６,bing6
ｂｉｕ１,biu1
ｂｉｕ２,biu2
ｂｉｕ３,biu3
ｂｉｕ４,biu4
ｂｉｕ５,biu5
ｂｉｕ６,biu6
ｂｙｕ１,byu1
ｂｙｕ２,byu2
ｂｙｕ３,byu3
ｂｙｕ４,byu4
ｂｙｕ５,byu5
ｂｙｕ６,byu6
ｂｙｕｔ１,byut1
ｂｙｕｔ２,byut2
ｂｙｕｔ３,byut3
ｂｙｕｔ４,byut4
ｂｙｕｔ５,byut5
ｂｙｕｔ６,byut6
ｂｙｕｎ１,byun1
ｂｙｕｎ２,byun2
ｂｙｕｎ３,byun3
ｂｙｕｎ４,byun4
ｂｙｕｎ５,byun5
ｂｙｕｎ６,byun6
ｂｕ１,bu1
ｂｕ２,bu2
ｂｕ３,bu3
ｂｕ４,bu4
ｂｕ５,bu5
ｂｕ６,bu6
ｂｕｐ１,bup1
ｂｕｐ２,bup2
ｂｕｐ３,bup3
ｂｕｐ４,bup4
ｂｕｐ５,bup5
ｂｕｐ６,bup6
ｂｕｔ１,but1
ｂｕｔ２,but2
ｂｕｔ３,but3
ｂｕｔ４,but4
ｂｕｔ５,but5
ｂｕｔ６,but6
ｂｕｋ１,buk1
ｂｕｋ２,buk2
ｂｕｋ３,buk3
ｂｕｋ４,buk4
ｂｕｋ５,buk5
ｂｕｋ６,buk6
ｂｕｍ１,bum1
ｂｕｍ２,bum2
ｂｕｍ３,bum3
ｂｕｍ４,bum4
ｂｕｍ５,bum5
ｂｕｍ６,bum6
ｂｕｎ１,bun1
ｂｕｎ２,bun2
ｂｕｎ３,bun3
ｂｕｎ４,bun4
ｂｕｎ５,bun5
ｂｕｎ６,bun6
ｂｕｎｇ１,bung1
ｂｕｎｇ２,bung2
ｂｕｎｇ３,bung3
ｂｕｎｇ４,bung4
ｂｕｎｇ５,bung5
ｂｕｎｇ６,bung6
ｂｕｉ１,bui1
ｂｕｉ２,bui2
ｂｕｉ３,bui3
ｂｕｉ４,bui4
ｂｕｉ５,bui5
ｂｕｉ６,bui6
ｂｅ１,be1
ｂｅ２,be2
ｂｅ３,be3
ｂｅ４,be4
ｂｅ５,be5
ｂｅ６,be6
ｂｅｐ１,bep1
ｂｅｐ２,bep2
ｂｅｐ３,bep3
ｂｅｐ４,bep4
ｂｅｐ５,bep5
ｂｅｐ６,bep6
ｂｅｔ１,bet1
ｂｅｔ２,bet2
ｂｅｔ３,bet3
ｂｅｔ４,bet4
ｂｅｔ５,bet5
ｂｅｔ６,bet6
ｂｅｋ１,bek1
ｂｅｋ２,bek2
ｂｅｋ３,bek3
ｂｅｋ４,bek4
ｂｅｋ５,bek5
ｂｅｋ６,bek6
ｂｅｍ１,bem1
ｂｅｍ２,bem2
ｂｅｍ３,bem3
ｂｅｍ４,bem4
ｂｅｍ５,bem5
ｂｅｍ６,bem6
ｂｅｎ１,ben1
ｂｅｎ２,ben2
ｂｅｎ３,ben3
ｂｅｎ４,ben4
ｂｅｎ５,ben5
ｂｅｎ６,ben6
ｂｅｎｇ１,beng1
ｂｅｎｇ２,beng2
ｂｅｎｇ３,beng3
ｂｅｎｇ４,beng4
ｂｅｎｇ５,beng5
ｂｅｎｇ６,beng6
ｂｅｉ１,bei1
ｂｅｉ２,bei2
ｂｅｉ３,bei3
ｂｅｉ４,bei4
ｂｅｉ５,bei5
ｂｅｉ６,bei6
ｂｅｕ１,beu1
ｂｅｕ２,beu2
ｂｅｕ３,beu3
ｂｅｕ４,beu4
ｂｅｕ５,beu5
ｂｅｕ６,beu6
ｂｅｏｔ１,beot1
ｂｅｏｔ２,beot2
ｂｅｏｔ３,beot3
ｂｅｏｔ４,beot4
ｂｅｏｔ５,beot5
ｂｅｏｔ６,beot6
ｂｅｏｎ１,beon1
ｂｅｏｎ２,beon2
ｂｅｏｎ３,beon3
ｂｅｏｎ４,beon4
ｂｅｏｎ５,beon5
ｂｅｏｎ６,beon6
ｂｅｏｉ１,beoi1
ｂｅｏｉ２,beoi2
ｂｅｏｉ３,beoi3
ｂｅｏｉ４,beoi4
ｂｅｏｉ５,beoi5
ｂｅｏｉ６,beoi6
ｂｏｅ１,boe1
ｂｏｅ２,boe2
ｂｏｅ３,boe3
ｂｏｅ４,boe4
ｂｏｅ５,boe5
ｂｏｅ６,boe6
ｂｏｅｔ１,boet1
ｂｏｅｔ２,boet2
ｂｏｅｔ３,boet3
ｂｏｅｔ４,boet4
ｂｏｅｔ５,boet5
ｂｏｅｔ６,boet6
ｂｏｅｋ１,boek1
ｂｏｅｋ２,boek2
ｂｏｅｋ３,boek3
ｂｏｅｋ４,boek4
ｂｏｅｋ５,boek5
ｂｏｅｋ６,boek6
ｂｏｅｎｇ１,boeng1
ｂｏｅｎｇ２,boeng2
ｂｏｅｎｇ３,boeng3
ｂｏｅｎｇ４,boeng4
ｂｏｅｎｇ５,boeng5
ｂｏｅｎｇ６,boeng6
ｂｏ１,bo1
ｂｏ２,bo2
ｂｏ３,bo3
ｂｏ４,bo4
ｂｏ５,bo5
ｂｏ６,bo6
ｂｏｔ１,bot1
ｂｏｔ２,bot2
ｂｏｔ３,bot3
ｂｏｔ４,bot4
ｂｏｔ５,bot5
ｂｏｔ６,bot6
ｂｏｋ１,bok1
ｂｏｋ２,bok2
ｂｏｋ３,bok3
ｂｏｋ４,bok4
ｂｏｋ５,bok5
ｂｏｋ６,bok6
ｂｏｎ１,bon1
ｂｏｎ２,bon2
ｂｏｎ３,bon3
ｂｏｎ４,bon4
ｂｏｎ５,bon5
ｂｏｎ６,bon6
ｂｏｎｇ１,bong1
ｂｏｎｇ２,bong2
ｂｏｎｇ３,bong3
ｂｏｎｇ４,bong4
ｂｏｎｇ５,bong5
ｂｏｎｇ６,bong6
ｂｏｉ１,boi1
ｂｏｉ２,boi2
ｂｏｉ３,boi3
ｂｏｉ４,boi4
ｂｏｉ５,boi5
ｂｏｉ６,boi6
ｂｏｕ１,bou1
ｂｏｕ２,bou2
ｂｏｕ３,bou3
ｂｏｕ４,bou4
ｂｏｕ５,bou5
ｂｏｕ６,bou6
ｂａ１,ba1
ｂａ２,ba2
ｂａ３,ba3
ｂａ４,ba4
ｂａ５,ba5
ｂａ６,ba6
ｂａｐ１,bap1
ｂａｐ２,bap2
ｂａｐ３,bap3
ｂａｐ４,bap4
ｂａｐ５,bap5
ｂａｐ６,bap6
ｂａｔ１,bat1
ｂａｔ２,bat2
ｂａｔ３,bat3
ｂａｔ４,bat4
ｂａｔ５,bat5
ｂａｔ６,bat6
ｂａｋ１,bak1
ｂａｋ２,bak2
ｂａｋ３,bak3
ｂａｋ４,bak4
ｂａｋ５,bak5
ｂａｋ６,bak6
ｂａｍ１,bam1
ｂａｍ２,bam2
ｂａｍ３,bam3
ｂａｍ４,bam4
ｂａｍ５,bam5
ｂａｍ６,bam6
ｂａｎ１,ban1
ｂａｎ２,ban2
ｂａｎ３,ban3
ｂａｎ４,ban4
ｂａｎ５,ban5
ｂａｎ６,ban6
ｂａｎｇ１,bang1
ｂａｎｇ２,bang2
ｂａｎｇ３,bang3
ｂａｎｇ４,bang4
ｂａｎｇ５,bang5
ｂａｎｇ６,bang6
ｂａｉ１,bai1
ｂａｉ２,bai2
ｂａｉ３,bai3
ｂａｉ４,bai4
ｂａｉ５,bai5
ｂａｉ６,bai6
ｂａｕ１,bau1
ｂａｕ２,bau2
ｂａｕ３,bau3
ｂａｕ４,bau4
ｂａｕ５,bau5
ｂａｕ６,bau6
ｂａａ１,baa1
ｂａａ２,baa2
ｂａａ３,baa3
ｂａａ４,baa4
ｂａａ５,baa5
ｂａａ６,baa6
ｂａａｐ１,baap1
ｂａａｐ２,baap2
ｂａａｐ３,baap3
ｂａａｐ４,baap4
ｂａａｐ５,baap5
ｂａａｐ６,baap6
ｂａａｔ１,baat1
ｂａａｔ２,baat2
ｂａａｔ３,baat3
ｂａａｔ４,baat4
ｂａａｔ５,baat5
ｂａａｔ６,baat6
ｂａａｋ１,baak1
ｂａａｋ２,baak2
ｂａａｋ３,baak3
ｂａａｋ４,baak4
ｂａａｋ５,baak5
ｂａａｋ６,baak6
ｂａａｍ１,baam1
ｂａａｍ２,baam2
ｂａａｍ３,baam3
ｂａａｍ４,baam4
ｂａａｍ５,baam5
ｂａａｍ６,baam6
ｂａａｎ１,baan1
ｂａａｎ２,baan2
ｂａａｎ３,baan3
ｂａａｎ４,baan4
ｂａａｎ５,baan5
ｂａａｎ６,baan6
ｂａａｎｇ１,baang1
ｂａａｎｇ２,baang2
ｂａａｎｇ３,baang3
ｂａａｎｇ４,baang4
ｂａａｎｇ５,baang5
ｂａａｎｇ６,baang6
ｂａａｉ１,baai1
ｂａａｉ２,baai2
ｂａａｉ３,baai3
ｂａａｉ４,baai4
ｂａａｉ５,baai5
ｂａａｉ６,baai6
ｂａａｕ１,baau1
ｂａａｕ２,baau2
ｂａａｕ３,baau3
ｂａａｕ４,baau4
ｂａａｕ５,baau5
ｂａａｕ６,baau6
ｐｉ１,pi1
ｐｉ２,pi2
ｐｉ３,pi3
ｐｉ４,pi4
ｐｉ５,pi5
ｐｉ６,pi6
ｐｉｐ１,pip1
ｐｉｐ２,pip2
ｐｉｐ３,pip3
ｐｉｐ４,pip4
ｐｉｐ５,pip5
ｐｉｐ６,pip6
ｐｉｔ１,pit1
ｐｉｔ２,pit2
ｐｉｔ３,pit3
ｐｉｔ４,pit4
ｐｉｔ５,pit5
ｐｉｔ６,pit6
ｐｉｋ１,pik1
ｐｉｋ２,pik2
ｐｉｋ３,pik3
ｐｉｋ４,pik4
ｐｉｋ５,pik5
ｐｉｋ６,pik6
ｐｉｍ１,pim1
ｐｉｍ２,pim2
ｐｉｍ３,pim3
ｐｉｍ４,pim4
ｐｉｍ５,pim5
ｐｉｍ６,pim6
ｐｉｎ１,pin1
ｐｉｎ２,pin2
ｐｉｎ３,pin3
ｐｉｎ４,pin4
ｐｉｎ５,pin5
ｐｉｎ６,pin6
ｐｉｎｇ１,ping1
ｐｉｎｇ２,ping2
ｐｉｎｇ３,ping3
ｐｉｎｇ４,ping4
ｐｉｎｇ５,ping5
ｐｉｎｇ６,ping6
ｐｉｕ１,piu1
ｐｉｕ２,piu2
ｐｉｕ３,piu3
ｐｉｕ４,piu4
ｐｉｕ５,piu5
ｐｉｕ６,piu6
ｐｙｕ１,pyu1
ｐｙｕ２,pyu2
ｐｙｕ３,pyu3
ｐｙｕ４,pyu4
ｐｙｕ５,pyu5
ｐｙｕ６,pyu6
ｐｙｕｔ１,pyut1
ｐｙｕｔ２,pyut2
ｐｙｕｔ３,pyut3
ｐｙｕｔ４,pyut4
ｐｙｕｔ５,pyut5
ｐｙｕｔ６,pyut6
ｐｙｕｎ１,pyun1
ｐｙｕｎ２,pyun2
ｐｙｕｎ３,pyun3
ｐｙｕｎ４,pyun4
ｐｙｕｎ５,pyun5
ｐｙｕｎ６,pyun6
ｐｕ１,pu1
ｐｕ２,pu2
ｐｕ３,pu3
ｐｕ４,pu4
ｐｕ５,pu5
ｐｕ６,pu6
ｐｕｐ１,pup1
ｐｕｐ２,pup2
ｐｕｐ３,pup3
ｐｕｐ４,pup4
ｐｕｐ５,pup5
ｐｕｐ６,pup6
ｐｕｔ１,put1
ｐｕｔ２,put2
ｐｕｔ３,put3
ｐｕｔ４,put4
ｐｕｔ５,put5
ｐｕｔ６,put6
ｐｕｋ１,puk1
ｐｕｋ２,puk2
ｐｕｋ３,puk3
ｐｕｋ４,puk4
ｐｕｋ５,puk5
ｐｕｋ６,puk6
ｐｕｍ１,pum1
ｐｕｍ２,pum2
ｐｕｍ３,pum3
ｐｕｍ４,pum4
ｐｕｍ５,pum5
ｐｕｍ６,pum6
ｐｕｎ１,pun1
ｐｕｎ２,pun2
ｐｕｎ３,pun3
ｐｕｎ４,pun4
ｐｕｎ５,pun5
ｐｕｎ６,pun6
ｐｕｎｇ１,pung1
ｐｕｎｇ２,pung2
ｐｕｎｇ３,pung3
ｐｕｎｇ４,pung4
ｐｕｎｇ５,pung5
ｐｕｎｇ６,pung6
ｐｕｉ１,pui1
ｐｕｉ２,pui2
ｐｕｉ３,pui3
ｐｕｉ４,pui4
ｐｕｉ５,pui5
ｐｕｉ６,pui6
ｐｅ１,pe1
ｐｅ２,pe2
ｐｅ３,pe3
ｐｅ４,pe4
ｐｅ５,pe5
ｐｅ６,pe6
ｐｅｐ１,pep1
ｐｅｐ２,pep2
ｐｅｐ３,pep3
ｐｅｐ４,pep4
ｐｅｐ５,pep5
ｐｅｐ６,pep6
ｐｅｔ１,pet1
ｐｅｔ２,pet2
ｐｅｔ３,pet3
ｐｅｔ４,pet4
ｐｅｔ５,pet5
ｐｅｔ６,pet6
ｐｅｋ１,pek1
ｐｅｋ２,pek2
ｐｅｋ３,pek3
ｐｅｋ４,pek4
ｐｅｋ５,pek5
ｐｅｋ６,pek6
ｐｅｍ１,pem1
ｐｅｍ２,pem2
ｐｅｍ３,pem3
ｐｅｍ４,pem4
ｐｅｍ５,pem5
ｐｅｍ６,pem6
ｐｅｎ１,pen1
ｐｅｎ２,pen2
ｐｅｎ３,pen3
ｐｅｎ４,pen4
ｐｅｎ５,pen5
ｐｅｎ６,pen6
ｐｅｎｇ１,peng1
ｐｅｎｇ２,peng2
ｐｅｎｇ３,peng3
ｐｅｎｇ４,peng4
ｐｅｎｇ５,peng5
ｐｅｎｇ６,peng6
ｐｅｉ１,pei1
ｐｅｉ２,pei2
ｐｅｉ３,pei3
ｐｅｉ４,pei4
ｐｅｉ５,pei5
ｐｅｉ６,pei6
ｐｅｕ１,peu1
ｐｅｕ２,peu2
ｐｅｕ３,peu3
ｐｅｕ４,peu4
ｐｅｕ５,peu5
ｐｅｕ６,peu6
ｐｅｏｔ１,peot1
ｐｅｏｔ２,peot2
ｐｅｏｔ３,peot3
ｐｅｏｔ４,peot4
ｐｅｏｔ５,peot5
ｐｅｏｔ６,peot6
ｐｅｏｎ１,peon1
ｐｅｏｎ２,peon2
ｐｅｏｎ３,peon3
ｐｅｏｎ４,peon4
ｐｅｏｎ５,peon5
ｐｅｏｎ６,peon6
ｐｅｏｉ１,peoi1
ｐｅｏｉ２,peoi2
ｐｅｏｉ３,peoi3
ｐｅｏｉ４,peoi4
ｐｅｏｉ５,peoi5
ｐｅｏｉ６,peoi6
ｐｏｅ１,poe1
ｐｏｅ２,poe2
ｐｏｅ３,poe3
ｐｏｅ４,poe4
ｐｏｅ５,poe5
ｐｏｅ６,poe6
ｐｏｅｔ１,poet1
ｐｏｅｔ２,poet2
ｐｏｅｔ３,poet3
ｐｏｅｔ４,poet4
ｐｏｅｔ５,poet5
ｐｏｅｔ６,poet6
ｐｏｅｋ１,poek1
ｐｏｅｋ２,poek2
ｐｏｅｋ３,poek3
ｐｏｅｋ４,poek4
ｐｏｅｋ５,poek5
ｐｏｅｋ６,poek6
ｐｏｅｎｇ１,poeng1
ｐｏｅｎｇ２,poeng2
ｐｏｅｎｇ３,poeng3
ｐｏｅｎｇ４,poeng4
ｐｏｅｎｇ５,poeng5
ｐｏｅｎｇ６,poeng6
ｐｏ１,po1
ｐｏ２,po2
ｐｏ３,po3
ｐｏ４,po4
ｐｏ５,po5
ｐｏ６,po6
ｐｏｔ１,pot1
ｐｏｔ２,pot2
ｐｏｔ３,pot3
ｐｏｔ４,pot4
ｐｏｔ５,pot5
ｐｏｔ６,pot6
ｐｏｋ１,pok1
ｐｏｋ２,pok2
ｐｏｋ３,pok3
ｐｏｋ４,pok4
ｐｏｋ５,pok5
ｐｏｋ６,pok6
ｐｏｎ１,pon1
ｐｏｎ２,pon2
ｐｏｎ３,pon3
ｐｏｎ４,pon4
ｐｏｎ５,pon5
ｐｏｎ６,pon6
ｐｏｎｇ１,pong1
ｐｏｎｇ２,pong2
ｐｏｎｇ３,pong3
ｐｏｎｇ４,pong4
ｐｏｎｇ５,pong5
ｐｏｎｇ６,pong6
ｐｏｉ１,poi1
ｐｏｉ２,poi2
ｐｏｉ３,poi3
ｐｏｉ４,poi4
ｐｏｉ５,poi5
ｐｏｉ６,poi6
ｐｏｕ１,pou1
ｐｏｕ２,pou2
ｐｏｕ３,pou3
ｐｏｕ４,pou4
ｐｏｕ５,pou5
ｐｏｕ６,pou6
ｐａ１,pa1
ｐａ２,pa2
ｐａ３,pa3
ｐａ４,pa4
ｐａ５,pa5
ｐａ６,pa6
ｐａｐ１,pap1
ｐａｐ２,pap2
ｐａｐ３,pap3
ｐａｐ４,pap4
ｐａｐ５,pap5
ｐａｐ６,pap6
ｐａｔ１,pat1
ｐａｔ２,pat2
ｐａｔ３,pat3
ｐａｔ４,pat4
ｐａｔ５,pat5
ｐａｔ６,pat6
ｐａｋ１,pak1
